模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
paraformer-realtime-8k-v2,sfm_inference_public_cn_20251111095916_0007,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
paraformer-realtime-v1,sfm_inference_public_cn_20251111095917_0019,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
paraformer-realtime-v2,sfm_inference_public_cn_20251111095918_0241,llm,36K seconds,0 seconds,100%,100,2099-01-01,永不过期,valid,off,True,36000.0,36000.0
qvq-72b-preview,sfm_inference_public_cn_20251111095922_0159,llm,100K tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,100000.0,100000.0
qvq-max-2025-03-25,sfm_inference_public_cn_20251111095924_0177,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qvq-max-2025-05-15,sfm_inference_public_cn_20251111095926_0725,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qvq-max-latest,sfm_inference_public_cn_20251111095927_0274,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qvq-plus-2025-05-15,sfm_inference_public_cn_20251111095929_0397,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qvq-plus-latest,sfm_inference_public_cn_20251111095931_0513,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-audio-3.0-asr-flash,sfm_inferenceFunAudio_public_cn_20260722173741_0131,speech,36K seconds,0 seconds,100%,100,2026-10-27,剩余 61 天,valid,off,True,36000.0,36000.0
qwen-audio-3.0-asr-flash-filetrans,sfm_inferenceFunAudio_public_cn_20260722174011_0381,speech,36K seconds,0 seconds,100%,100,2026-10-27,剩余 61 天,valid,off,True,36000.0,36000.0
qwen-audio-3.0-asr-flash-streaming,sfm_inferenceFunAudio_public_cn_20260722173907_0540,speech,36K seconds,0 seconds,100%,100,2026-10-27,剩余 61 天,valid,off,True,36000.0,36000.0
