模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
qwen2.5-14b-instruct-1m,sfm_inference_public_cn_20251111100155_0914,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-32b-instruct,sfm_inference_public_cn_20251111100157_0265,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-3b-instruct,sfm_inference_public_cn_20251111100159_0825,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-72b-instruct,sfm_inference_public_cn_20251111100201_0736,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-7b-instruct,sfm_inference_public_cn_20251111100202_0915,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-7b-instruct-1m,sfm_inference_public_cn_20251111100207_0650,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-coder-14b-instruct,sfm_inference_public_cn_20251111100208_0504,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-coder-32b-instruct,sfm_inference_public_cn_20251111100213_0553,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-coder-7b-instruct,sfm_inference_public_cn_20251111100214_0402,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-math-72b-instruct,sfm_inference_public_cn_20251111100216_0877,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-math-7b-instruct,sfm_inference_public_cn_20251111100218_0083,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-vl-32b-instruct,sfm_inference_public_cn_20251111100221_0652,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-vl-3b-instruct,sfm_inference_public_cn_20251111100222_0360,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-vl-72b-instruct,sfm_inference_public_cn_20251111100224_0821,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-vl-7b-instruct,sfm_inference_public_cn_20251111100225_0371,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen2.5-vl-embedding,sfm_inference_public_cn_20251111100229_0972,embedding,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-0.6b,sfm_inference_public_cn_20251111100231_0661,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-1.7b,sfm_inference_public_cn_20251111100232_0033,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-4b,sfm_inference_public_cn_20251111100245_0920,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-asr-flash-realtime,sfm_inference_public_cn_20251111100248_0726,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
qwen3-asr-flash-realtime-2025-10-27,sfm_inference_public_cn_20251111100249_0084,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
